date,stock_price,strike_price,time_to_maturity,option_type,theoretical_price,market_price,bid_price,ask_price,implied_volatility,volume,open_interest,risk_free_rate
2023-01-04,101.62,90,0.08,put,0.0337,0.0337,0.0334,0.0341,0.2085,51,306,0.05
2023-01-04,101.62,95,0.08,call,7.7229,7.8807,7.8035,7.958,0.2726,44,440,0.05
2023-01-04,101.62,95,0.08,put,1.178,1.1855,1.1737,1.1973,0.331,49,882,0.05
2023-01-04,101.62,100,0.08,call,3.52,3.5425,3.5073,3.5777,0.2093,42,630,0.05
2023-01-04,101.62,100,0.08,put,1.054,1.0357,1.0252,1.0463,0.1669,49,686,0.05
2023-01-04,101.62,105,0.08,call,2.3393,2.3252,2.3018,2.3486,0.3121,54,810,0.05
2023-01-04,101.62,105,0.08,put,5.0362,5.1565,5.1062,5.2069,0.288,56,504,0.05
2023-01-04,101.62,110,0.08,call,0.3601,0.3614,0.3578,0.365,0.2198,62,434,0.05
2023-01-04,101.62,110,0.08,put,8.3013,8.3165,8.2335,8.3995,0.2198,56,896,0.05
2023-01-04,101.62,90,0.25,call,13.7945,13.7505,13.6126,13.8885,0.2677,53,742,0.05
2023-01-04,101.62,90,0.25,put,0.6976,0.6957,0.6888,0.7027,0.234,48,576,0.05
2023-01-04,101.62,95,0.25,call,10.222,10.0137,9.9115,10.1159,0.2804,48,528,0.05
2023-01-04,101.62,95,0.25,put,1.17,1.1934,1.1817,1.2051,0.1996,46,276,0.05
2023-01-04,101.62,100,0.25,call,5.0367,5.0816,5.0312,5.132,0.171,52,520,0.05
2023-01-04,101.62,100,0.25,put,3.7845,3.8305,3.7926,3.8683,0.2548,54,1026,0.05
2023-01-04,101.62,105,0.25,call,3.2586,3.2792,3.2466,3.3118,0.206,60,600,0.05
2023-01-04,101.62,105,0.25,put,8.5177,8.5882,8.5031,8.6734,0.3635,56,448,0.05
2023-01-04,101.62,110,0.25,call,3.3982,3.4495,3.4155,3.4835,0.3005,58,580,0.05
2023-01-04,101.62,110,0.25,put,9.8426,9.6216,9.5232,9.7201,0.2701,48,912,0.05
2023-01-04,101.62,90,0.5,call,16.4088,16.3359,16.1718,16.5,0.2838,40,240,0.05
2023-01-04,101.62,90,0.5,put,2.2681,2.2687,2.246,2.2914,0.2689,47,705,0.05
2023-01-04,101.62,95,0.5,call,12.0741,11.9463,11.8256,12.0671,0.2432,60,720,0.05
2023-01-04,101.62,95,0.5,put,2.668,2.6232,2.5965,2.6498,0.2244,51,612,0.05
2023-01-04,101.62,100,0.5,call,8.4245,8.6305,8.5463,8.7148,0.2197,63,504,0.05
2023-01-04,101.62,100,0.5,put,5.3328,5.3971,5.3437,5.4504,0.2565,47,329,0.05
2023-01-04,101.62,105,0.5,call,7.7604,7.7747,7.6971,7.8523,0.2836,62,1116,0.05
2023-01-04,101.62,105,0.5,put,7.729,7.6805,7.6033,7.7578,0.255,46,322,0.05
2023-01-04,101.62,110,0.5,call,4.1773,4.1066,4.0648,4.1483,0.2252,34,272,0.05
2023-01-04,101.62,110,0.5,put,12.6931,12.7534,12.6265,12.8803,0.3265,39,546,0.05
2023-01-05,104.09,90,0.08,call,14.6222,14.5886,14.4424,14.7348,0.3159,41,205,0.05
2023-01-05,104.09,90,0.08,put,0.0899,0.0895,0.0886,0.0904,0.2814,55,715,0.05
2023-01-05,104.09,95,0.08,call,9.7798,9.516,9.4182,9.6138,0.2541,59,1121,0.05
2023-01-05,104.09,95,0.08,put,0.2751,0.2726,0.2699,0.2754,0.2473,41,205,0.05
2023-01-05,104.09,100,0.08,call,5.3312,5.2886,5.2353,5.3419,0.214,51,561,0.05
2023-01-05,104.09,100,0.08,put,1.09,1.1047,1.0938,1.1156,0.2418,46,230,0.05
2023-01-05,104.09,105,0.08,call,2.5124,2.5116,2.4865,2.5367,0.2335,51,918,0.05
2023-01-05,104.09,105,0.08,put,2.8734,2.8801,2.8514,2.9088,0.2228,51,918,0.05
2023-01-05,104.09,110,0.08,call,1.9394,1.9165,1.8971,1.9359,0.3409,42,462,0.05
2023-01-05,104.09,110,0.08,put,6.5975,6.5428,6.4769,6.6088,0.2602,60,300,0.05
2023-01-05,104.09,90,0.25,call,16.2528,16.4048,16.2423,16.5674,0.2961,38,646,0.05
2023-01-05,104.09,90,0.25,put,1.2359,1.2148,1.2024,1.2271,0.3136,46,736,0.05
2023-01-05,104.09,95,0.25,call,12.423,12.3795,12.2552,12.5037,0.3005,42,504,0.05
2023-01-05,104.09,95,0.25,put,1.2459,1.2248,1.2124,1.2373,0.2385,36,180,0.05
2023-01-05,104.09,100,0.25,call,7.3476,7.3716,7.2981,7.4451,0.205,48,912,0.05
2023-01-05,104.09,100,0.25,put,1.7044,1.6789,1.6619,1.6959,0.1874,57,627,0.05
2023-01-05,104.09,105,0.25,call,6.5565,6.6061,6.5406,6.6717,0.307,48,288,0.05
2023-01-05,104.09,105,0.25,put,3.5196,3.5067,3.4715,3.5419,0.1793,40,600,0.05
2023-01-05,104.09,110,0.25,call,3.8107,3.8151,3.777,3.8532,0.2736,48,864,0.05
2023-01-05,104.09,110,0.25,put,8.0262,8.096,8.0157,8.1762,0.2575,47,470,0.05
2023-01-05,104.09,90,0.5,call,18.7858,18.5437,18.3559,18.7316,0.3029,39,234,0.05
2023-01-05,104.09,90,0.5,put,1.588,1.6094,1.5935,1.6252,0.255,44,396,0.05
2023-01-05,104.09,95,0.5,call,14.235,14.3815,14.2392,14.5239,0.2563,41,369,0.05
2023-01-05,104.09,95,0.5,put,3.1882,3.1595,3.1276,3.1914,0.2736,53,901,0.05
2023-01-05,104.09,100,0.5,call,9.6712,9.5741,9.4774,9.6708,0.2045,61,976,0.05
2023-01-05,104.09,100,0.5,put,4.9728,4.9519,4.9022,5.0017,0.2755,42,294,0.05
2023-01-05,104.09,105,0.5,call,10.2475,10.1848,10.0824,10.2873,0.3227,45,225,0.05
2023-01-05,104.09,105,0.5,put,4.4292,4.4624,4.4181,4.5067,0.1797,66,792,0.05
2023-01-05,104.09,110,0.5,call,8.1579,8.1657,8.0841,8.2472,0.325,43,344,0.05
2023-01-05,104.09,110,0.5,put,9.4087,9.4354,9.3413,9.5295,0.259,41,246,0.05
2023-01-06,103.72,90,0.08,call,14.111,14.1061,13.965,14.2472,0.236,48,528,0.05
2023-01-06,103.72,90,0.08,put,0.2562,0.2588,0.2562,0.2613,0.3385,48,768,0.05
2023-01-06,103.72,95,0.08,call,9.2902,9.3891,9.2962,9.482,0.2203,53,583,0.05
2023-01-06,103.72,95,0.08,put,0.3492,0.3522,0.3487,0.3556,0.256,51,663,0.05
2023-01-06,103.72,100,0.08,call,6.0733,6.0994,6.0387,6.1602,0.3184,42,588,0.05
2023-01-06,103.72,100,0.08,put,1.3676,1.3576,1.3439,1.3713,0.2604,55,660,0.05
2023-01-06,103.72,105,0.08,call,2.3159,2.342,2.3188,2.3652,0.2319,58,812,0.05
2023-01-06,103.72,105,0.08,put,3.3415,3.3865,3.3531,3.42,0.246,47,799,0.05
2023-01-06,103.72,110,0.08,call,1.5611,1.5646,1.549,1.5802,0.3149,46,736,0.05
2023-01-06,103.72,110,0.08,put,6.5819,6.6697,6.6038,6.7355,0.2261,50,850,0.05
2023-01-06,103.72,90,0.25,call,15.6109,15.7463,15.5902,15.9025,0.2659,47,517,0.05
2023-01-06,103.72,90,0.25,put,0.757,0.759,0.7514,0.7665,0.2642,42,630,0.05
2023-01-06,103.72,95,0.25,call,11.3591,11.3003,11.1867,11.4139,0.249,47,564,0.05
2023-01-06,103.72,95,0.25,put,2.5506,2.5333,2.5078,2.5589,0.3205,37,296,0.05
2023-01-06,103.72,100,0.25,call,6.5349,6.4779,6.4125,6.5432,0.1739,39,702,0.05
2023-01-06,103.72,100,0.25,put,3.695,3.7118,3.6749,3.7488,0.2897,51,459,0.05
2023-01-06,103.72,105,0.25,call,5.9478,5.9457,5.8863,6.0052,0.2872,47,752,0.05
2023-01-06,103.72,105,0.25,put,5.3984,5.4288,5.3748,5.4828,0.2617,52,312,0.05
2023-01-06,103.72,110,0.25,call,1.7244,1.7445,1.7273,1.7618,0.1734,49,294,0.05
2023-01-06,103.72,110,0.25,put,9.7322,9.6917,9.5944,9.789,0.3311,56,616,0.05
2023-01-06,103.72,90,0.5,call,17.4105,17.6578,17.4837,17.8319,0.2448,48,336,0.05
2023-01-06,103.72,90,0.5,put,1.0947,1.087,1.0761,1.098,0.2215,45,810,0.05
2023-01-06,103.72,95,0.5,call,13.0394,13.022,12.8916,13.1524,0.2148,46,782,0.05
2023-01-06,103.72,95,0.5,put,4.052,4.0636,4.0231,4.1041,0.3063,51,765,0.05
2023-01-06,103.72,100,0.5,call,11.0512,10.9445,10.834,11.055,0.2667,34,306,0.05
2023-01-06,103.72,100,0.5,put,3.295,3.3179,3.2849,3.3508,0.2073,49,833,0.05
2023-01-06,103.72,105,0.5,call,6.4012,6.4109,6.3469,6.4749,0.197,53,901,0.05
2023-01-06,103.72,105,0.5,put,7.8676,7.9136,7.8349,7.9923,0.2931,57,285,0.05
2023-01-06,103.72,110,0.5,call,5.2609,5.2469,5.1943,5.2995,0.232,46,414,0.05
2023-01-06,103.72,110,0.5,put,8.9576,9.048,8.9584,9.1376,0.2366,55,825,0.05
2023-01-07,103.34,90,0.08,call,13.9417,13.9359,13.7965,14.0753,0.3266,54,810,0.05
2023-01-07,103.34,90,0.08,put,0.1051,0.1053,0.1043,0.1064,0.2778,50,300,0.05
2023-01-07,103.34,95,0.08,call,9.0417,9.1156,9.0252,9.206,0.2424,43,516,0.05
2023-01-07,103.34,95,0.08,put,0.0743,0.0742,0.0734,0.0749,0.1755,43,559,0.05
2023-01-07,103.34,100,0.08,call,5.2101,5.2051,5.153,5.2572,0.2595,52,884,0.05
2023-01-07,103.34,100,0.08,put,1.511,1.5026,1.4875,1.5177,0.264,42,210,0.05
2023-01-07,103.34,105,0.08,call,2.6401,2.5923,2.5659,2.6187,0.2746,52,312,0.05
2023-01-07,103.34,105,0.08,put,4.1503,4.2342,4.1927,4.2757,0.2983,52,884,0.05
2023-01-07,103.34,110,0.08,call,0.5657,0.5746,0.5689,0.5803,0.213,53,954,0.05
2023-01-07,103.34,110,0.08,put,7.0514,7.0992,7.0287,7.1698,0.2467,50,750,0.05
2023-01-07,103.34,90,0.25,call,15.1038,15.2733,15.1222,15.4243,0.2476,37,333,0.05
2023-01-07,103.34,90,0.25,put,1.3672,1.3419,1.3283,1.3556,0.3155,41,246,0.05
2023-01-07,103.34,95,0.25,call,10.6765,10.5429,10.4361,10.6496,0.2217,57,684,0.05
2023-01-07,103.34,95,0.25,put,2.6699,2.6587,2.632,2.6854,0.3222,37,555,0.05
2023-01-07,103.34,100,0.25,call,7.2071,7.2403,7.1682,7.3124,0.2259,52,468,0.05
2023-01-07,103.34,100,0.25,put,3.6463,3.6404,3.604,3.6769,0.2804,52,676,0.05
2023-01-07,103.34,105,0.25,call,3.6034,3.602,3.5659,3.638,0.1829,36,324,0.05
2023-01-07,103.34,105,0.25,put,3.8619,3.8058,3.7671,3.8444,0.1785,49,294,0.05
2023-01-07,103.34,110,0.25,call,5.0085,5.1323,5.0823,5.1824,0.3483,45,225,0.05
2023-01-07,103.34,110,0.25,put,7.8624,7.9363,7.8576,8.0149,0.2252,40,720,0.05
2023-01-07,103.34,90,0.5,call,17.9683,17.9676,17.788,18.1473,0.2923,47,658,0.05
2023-01-07,103.34,90,0.5,put,0.7216,0.7221,0.7148,0.7293,0.1921,54,918,0.05
2023-01-07,103.34,95,0.5,call,12.6626,12.6399,12.5133,12.7665,0.211,39,702,0.05
2023-01-07,103.34,95,0.5,put,2.0234,2.042,2.0217,2.0622,0.2134,64,960,0.05
2023-01-07,103.34,100,0.5,call,11.0983,11.1049,10.9939,11.2159,0.2776,54,324,0.05
2023-01-07,103.34,100,0.5,put,3.6836,3.7303,3.6934,3.7671,0.2177,52,780,0.05
2023-01-07,103.34,105,0.5,call,8.5312,8.541,8.4557,8.6263,0.278,57,399,0.05
2023-01-07,103.34,105,0.5,put,8.1574,8.2949,8.2133,8.3764,0.2975,52,676,0.05
2023-01-07,103.34,110,0.5,call,4.9483,4.9325,4.883,4.982,0.227,42,462,0.05
2023-01-07,103.34,110,0.5,put,10.1666,10.218,10.1163,10.3197,0.2712,49,343,0.05
2023-01-08,105.96,90,0.08,call,16.3146,16.2327,16.0695,16.3958,0.1501,42,798,0.05
2023-01-08,105.96,90,0.08,put,0.0288,0.0291,0.0288,0.0294,0.2606,45,810,0.05
2023-01-08,105.96,95,0.08,call,11.4589,11.4846,11.37,11.5992,0.2363,45,360,0.05
2023-01-08,105.96,95,0.08,put,0.3709,0.3649,0.3612,0.3686,0.3024,49,784,0.05
2023-01-08,105.96,100,0.08,call,6.9027,6.8563,6.7873,6.9254,0.2214,57,798,0.05
2023-01-08,105.96,100,0.08,put,0.0894,0.0898,0.0889,0.0907,0.1358,42,756,0.05
2023-01-08,105.96,105,0.08,call,3.8588,3.7581,3.7195,3.7967,0.263,37,370,0.05
2023-01-08,105.96,105,0.08,put,2.5533,2.5493,2.5238,2.5748,0.2689,50,300,0.05
2023-01-08,105.96,110,0.08,call,2.1587,2.1645,2.1429,2.1861,0.3031,46,322,0.05
2023-01-08,105.96,110,0.08,put,4.7954,4.7333,4.6854,4.7813,0.2143,56,952,0.05
2023-01-08,105.96,90,0.25,call,18.017,17.8788,17.6986,18.059,0.308,52,728,0.05
2023-01-08,105.96,90,0.25,put,0.2082,0.2122,0.2102,0.2143,0.212,35,420,0.05
2023-01-08,105.96,95,0.25,call,12.884,13.0774,12.9485,13.2062,0.2205,39,507,0.05
2023-01-08,105.96,95,0.25,put,1.6544,1.6273,1.6108,1.6439,0.2925,47,564,0.05
2023-01-08,105.96,100,0.25,call,10.5656,10.6039,10.4983,10.7096,0.3103,58,986,0.05
2023-01-08,105.96,100,0.25,put,3.4536,3.4425,3.408,3.4771,0.3149,34,238,0.05
2023-01-08,105.96,105,0.25,call,5.9682,6.0119,5.9522,6.0716,0.2274,46,828,0.05
2023-01-08,105.96,105,0.25,put,4.0886,4.0526,4.0117,4.0935,0.246,49,882,0.05
2023-01-08,105.96,110,0.25,call,5.8128,5.8209,5.7628,5.879,0.3308,59,1121,0.05
2023-01-08,105.96,110,0.25,put,7.2668,7.1126,7.0399,7.1853,0.2726,50,900,0.05
2023-01-08,105.96,90,0.5,call,19.6605,19.8784,19.6818,20.075,0.2646,36,216,0.05
2023-01-08,105.96,90,0.5,put,0.5582,0.5615,0.556,0.5671,0.198,35,665,0.05
2023-01-08,105.96,95,0.5,call,14.7576,14.8384,14.6908,14.9859,0.2095,51,255,0.05
2023-01-08,105.96,95,0.5,put,1.3588,1.3613,1.3477,1.3749,0.2041,53,689,0.05
2023-01-08,105.96,100,0.5,call,12.3626,12.4992,12.3756,12.6228,0.2583,43,387,0.05
2023-01-08,105.96,100,0.5,put,5.274,5.3183,5.2656,5.371,0.3094,46,460,0.05
2023-01-08,105.96,105,0.5,call,11.8637,11.9589,11.8402,12.0775,0.3408,39,585,0.05
2023-01-08,105.96,105,0.5,put,5.1277,5.1152,5.0639,5.1665,0.2301,46,460,0.05
2023-01-08,105.96,110,0.5,call,8.3036,8.3692,8.2862,8.4523,0.2982,47,517,0.05
2023-01-08,105.96,110,0.5,put,7.6075,7.5103,7.4342,7.5864,0.2304,54,702,0.05
2023-01-09,107.25,90,0.08,call,17.611,17.7983,17.6222,17.9744,0.1678,40,600,0.05
2023-01-09,107.25,90,0.08,put,0.1622,0.1649,0.1633,0.1665,0.3623,44,308,0.05
2023-01-09,107.25,95,0.08,call,12.8967,12.9769,12.848,13.1059,0.3005,53,477,0.05
2023-01-09,107.25,95,0.08,put,0.1161,0.1177,0.1166,0.1189,0.2529,47,517,0.05
2023-01-09,107.25,100,0.08,call,7.7471,7.7932,7.7157,7.8706,0.1588,65,715,0.05
2023-01-09,107.25,100,0.08,put,0.8683,0.8762,0.8675,0.8849,0.2927,52,416,0.05
2023-01-09,107.25,105,0.08,call,4.4211,4.4128,4.3686,4.457,0.242,39,351,0.05
2023-01-09,107.25,105,0.08,put,2.1516,2.1303,2.1088,2.1518,0.2777,57,798,0.05
2023-01-09,107.25,110,0.08,call,1.404,1.4253,1.4112,1.4393,0.1948,45,585,0.05
2023-01-09,107.25,110,0.08,put,4.804,4.7531,4.7051,4.8012,0.2887,42,210,0.05
2023-01-09,107.25,90,0.25,call,18.7445,18.4459,18.2585,18.6333,0.2532,59,649,0.05
2023-01-09,107.25,90,0.25,put,0.5066,0.5042,0.4992,0.5093,0.272,42,714,0.05
2023-01-09,107.25,95,0.25,call,15.0656,15.2473,15.0967,15.398,0.3076,55,715,0.05
2023-01-09,107.25,95,0.25,put,1.136,1.124,1.1127,1.1354,0.2692,43,516,0.05
2023-01-09,107.25,100,0.25,call,10.8583,10.7232,10.6146,10.8318,0.2739,55,385,0.05
2023-01-09,107.25,100,0.25,put,1.412,1.4182,1.4041,1.4323,0.2154,56,784,0.05
2023-01-09,107.25,105,0.25,call,8.1319,8.3127,8.2313,8.394,0.2946,42,252,0.05
2023-01-09,107.25,105,0.25,put,2.4295,2.4895,2.4652,2.5138,0.1881,42,294,0.05
2023-01-09,107.25,110,0.25,call,2.6993,2.7253,2.6983,2.7523,0.1554,44,748,0.05
2023-01-09,107.25,110,0.25,put,8.4626,8.5191,8.4344,8.6037,0.3605,54,918,0.05
2023-01-09,107.25,90,0.5,call,19.7221,19.9146,19.7174,20.1119,0.1725,32,448,0.05
2023-01-09,107.25,90,0.5,put,1.9884,1.9918,1.9719,2.0117,0.3052,37,296,0.05
2023-01-09,107.25,95,0.5,call,16.8639,16.7658,16.5972,16.9345,0.2626,40,320,0.05
2023-01-09,107.25,95,0.5,put,1.0855,1.099,1.0881,1.1098,0.1993,49,441,0.05
2023-01-09,107.25,100,0.5,call,12.8198,12.9008,12.7726,13.029,0.2393,52,728,0.05
2023-01-09,107.25,100,0.5,put,1.5475,1.5665,1.551,1.5819,0.1722,50,900,0.05
2023-01-09,107.25,105,0.5,call,8.3515,8.424,8.3405,8.5075,0.1895,53,583,0.05
2023-01-09,107.25,105,0.5,put,2.701,2.6763,2.6493,2.7033,0.1602,49,245,0.05
2023-01-09,107.25,110,0.5,call,7.6613,7.4824,7.4058,7.559,0.2541,56,1008,0.05
